year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,ERRENTERIAKO HIRIA IX. IKURRIÑA,Trintxerpe,,"21:54,74",1,1,9,1,9,11:07,,,,
2022,BANDERA CIUDAD DE CASTRO URDIALES,Lapurdi,,"21:24,42",2,2,1,9,1,5:12,10:33,16:08,10:33,16:08
2022,BANDERA CIUDAD DE CASTRO URDIALES,Mutriku,,"21:27,91",1,2,2,8,2,5:17,10:37,16:11,10:37,16:11
2022,BANDERA CIUDAD DE CASTRO URDIALES,Donostiarra,,"21:41,70",3,2,3,7,3,5:19,10:38,16:23,10:38,16:23
2022,BANDERA CIUDAD DE CASTRO URDIALES,Portugalete,,"21:43,55",4,2,4,6,4,5:23,10:45,16:25,10:45,16:25
2022,BANDERA CIUDAD DE CASTRO URDIALES,Hibaika,,"21:54,22",5,2,5,5,5,5:26,10:50,16:34,10:50,16:34
2022,BANDERA CIUDAD DE CASTRO URDIALES,Astillero,,"22:27,90",3,1,1,4,6,5:21,10:59,16:49,10:59,16:49
2022,BANDERA CIUDAD DE CASTRO URDIALES,Castro,,"22:53,52",1,1,2,3,7,5:18,11:03,17:00,11:03,17:00
2022,BANDERA CIUDAD DE CASTRO URDIALES,Santoña,,"23:13,36",2,1,3,2,8,5:30,11:22,17:24,11:22,17:24
2022,BANDERA CIUDAD DE CASTRO URDIALES,Trintxerpe,,"24:01,21",4,1,4,1,9,5:42,11:48,17:57,11:48,17:57
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Lapurdi,,"21:01,21",5,2,1,9,1,5:10,10:24,15:52,10:24,15:52
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Mutriku,,"21:08,08",2,2,2,8,2,5:15,10:27,16:00,10:27,16:00
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Donostiarra,,"21:09,58",4,2,3,7,3,5:14,10:29,16:02,10:29,16:02
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Hibaika,,"21:12,32",3,2,4,6,4,5:14,10:29,16:04,10:29,16:04
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Portugalete,,"21:30,34",1,2,5,5,5,5:17,10:36,16:13,10:36,16:13
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Astillero,,"21:54,21",4,1,1,4,6,5:33,10:55,16:48,10:55,16:48
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Santoña,,"22:01,44",3,1,2,3,7,5:26,10:48,16:40,10:48,16:40
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Castro,,"22:38,89",2,1,3,2,8,5:46,11:09,17:17,11:09,17:17
2022,"LII BANDERA EXCMO. AYTO. SANTOÑA VII MEMORIAL FERNANDO PALACIO ""CHO""",Trintxerpe,,"22:55,03",1,1,4,1,9,5:48,11:21,17:35,11:21,17:35
